run,learning_rate,n_steps,gamma,ent_coef,vf_coef,max_grad_norm,mean_reward,std_reward,mean_topics
1,0.0007,5,0.99,0.01,0.5,0.5,160.73,22.52,4.63
2,0.001,5,0.99,0.01,0.5,0.5,147.21,19.72,5.27
3,0.0003,5,0.99,0.01,0.5,0.5,118.66,13.6,4.93
4,0.0007,20,0.99,0.01,0.5,0.5,130.5,12.26,5.0
5,0.0007,5,0.95,0.01,0.5,0.5,152.86,18.95,5.23
6,0.0007,5,0.99,0.05,0.5,0.5,155.58,19.3,5.23
7,0.0007,5,0.99,0.001,0.5,0.5,109.62,18.59,4.6
8,0.0007,5,0.99,0.01,1.0,0.5,139.31,18.14,5.33
9,0.0007,5,0.99,0.01,0.5,1.0,139.78,22.43,4.9
10,0.0005,10,0.995,0.02,0.6,0.5,121.17,22.81,3.97
