run,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,gradient_steps,tau,mean_reward,std_reward,mean_topics_completed
1,0.001,0.99,100000,64,0.3,0.05,1,1.0,150.47,10.61,0.57
2,0.005,0.99,100000,64,0.3,0.05,1,1.0,155.1,11.95,1.2
3,0.0001,0.99,100000,64,0.4,0.02,1,1.0,187.1,22.38,4.03
4,0.001,0.9,100000,64,0.3,0.05,1,1.0,125.09,6.14,6.0
5,0.001,0.999,100000,128,0.25,0.05,2,0.9,133.11,12.96,0.0
6,0.001,0.99,20000,64,0.35,0.05,1,1.0,147.03,12.13,0.43
7,0.0005,0.99,100000,256,0.3,0.02,2,1.0,178.35,17.37,2.27
8,0.001,0.99,100000,64,0.6,0.1,1,1.0,187.35,29.04,3.6
9,0.001,0.99,100000,64,0.3,0.05,1,0.01,125.58,7.22,6.0
10,0.0003,0.995,100000,128,0.2,0.02,4,1.0,142.22,8.89,0.17
