run,learning_rate,n_steps,batch_size,n_epochs,clip_range,gae_lambda,ent_coef,mean_reward,std_reward,mean_topics
1,0.0003,2048,64,10,0.2,0.95,0.01,176.16,12.42,2.4
2,0.001,2048,64,10,0.2,0.95,0.01,11.36,61.76,0.0
3,0.0001,2048,64,10,0.2,0.95,0.01,168.6,13.03,4.17
4,0.0003,1024,64,10,0.2,0.95,0.01,166.91,25.61,3.8
5,0.0003,512,64,10,0.2,0.95,0.01,129.51,56.14,4.43
6,0.0003,2048,128,10,0.3,0.95,0.01,161.59,36.95,4.5
7,0.0003,2048,64,20,0.2,0.95,0.01,196.2,13.66,4.63
8,0.0003,2048,64,10,0.1,0.95,0.01,171.84,9.33,2.03
9,0.0003,2048,64,10,0.2,0.9,0.05,184.78,12.18,3.4
10,0.0005,4096,128,10,0.25,0.98,0.02,104.98,3.98,6.0
