run,learning_rate,gamma,entropy_coef,episodes/update,use_baseline,mean_reward,std_reward,mean_topics
1,0.0003,0.99,0.01,1,True,41.02,3.56,4.0
2,0.001,0.99,0.01,1,True,101.17,6.42,6.0
3,0.0001,0.99,0.01,1,True,104.0,4.69,6.0
4,0.0003,0.95,0.01,1,True,106.05,3.71,6.0
5,0.0003,0.999,0.01,1,True,101.32,4.7,6.0
6,0.0003,0.99,0.05,1,True,103.37,7.26,5.93
7,0.0003,0.99,0.001,1,True,40.73,5.17,3.87
8,0.0003,0.99,0.02,5,True,33.39,4.56,3.37
9,0.0003,0.99,0.01,1,False,106.09,3.5,6.0
10,0.0005,0.99,0.03,3,True,101.1,5.14,6.0
